32.83,-97.3,59.5,19310,-65.1,-88.1,3,0.00,279,42,465.9,465.9,465.9
32.83,-97.3,57.5,19519,-63.5,-87.5,3,0.00,284,43,474.1,474.1,474.1
32.83,-97.3,54.8,19812,-63.5,-88.4,2,0.00,290,44,480.6,480.7,480.6
32.83,-97.3,54.6,19836,-63.5,-88.5,2,0.00,289,44,481.2,481.2,481.2
32.83,-97.3,50.9,20262,-66.9,-90.9,2,0.00,278,42,482.9,483.0,482.9
32.83,-97.3,50.0,20370,-66.3,-90.3,2,0.00,275,42,486.8,486.9,486.8
32.83,-97.3,49.6,20422,-66.1,-90.4,2,0.00,270,43,488.6,488.6,488.6
32.83,-97.3,47.6,20669,-64.9,-90.9,2,0.00,274,45,497.1,497.1,497.1
32.83,-97.3,46.1,20865,-65.5,-91.5,2,0.00,277,46,500.2,500.2,500.2
32.83,-97.3,44.9,21031,-63.3,-91.0,1,0.00,280,47,509.4,509.4,509.4
32.83,-97.3,44.0,21151,-61.7,-90.7,1,0.00,280,42,516.2,516.2,516.2
32.83,-97.3,42.7,21336,-61.6,-91.0,1,0.00,280,35,520.8,520.8,520.8
32.83,-97.3,41.0,21589,-61.5,-91.5,1,0.00,268,32,527.2,527.2,527.2
32.83,-97.3,40.7,21641,-61.9,-91.6,1,0.00,265,31,527.6,527.6,527.6
32.83,-97.3,38.7,21946,-64.0,-92.2,1,0.00,250,41,529.7,529.7,529.7
32.83,-97.3,38.4,21993,-64.3,-92.3,1,0.00,250,42,530.0,530.1,530.0
32.83,-97.3,35.1,22555,-60.6,-91.5,1,0.00,255,54,553.7,553.7,553.7
32.83,-97.3,35.0,22566,-60.5,-91.5,1,0.00,255,54,554.2,554.2,554.2
32.83,-97.3,32.8,22972,-59.5,-90.5,1,0.00,264,51,567.2,567.2,567.2
32.83,-97.3,31.2,23284,-60.3,-91.3,1,0.00,271,49,573.2,573.2,573.2
32.83,-97.3,30.3,23470,-59.2,-90.2,1,0.00,275,48,581.0,581.1,581.1
32.83,-97.3,30.2,23488,-59.1,-90.1,1,0.00,275,48,581.8,581.9,581.8
32.83,-97.3,30.0,23530,-59.3,-90.3,1,0.00,275,48,582.4,582.4,582.4
32.83,-97.3,27.9,23981,-61.3,-92.3,1,0.00,254,46,589.0,589.1,589.0
32.83,-97.3,27.5,24079,-61.1,-92.1,1,0.00,250,46,592.2,592.2,592.2
32.83,-97.3,26.1,24384,-60.5,-91.5,1,0.00,250,51,602.3,602.3,602.3
32.83,-97.3,25.7,24491,-60.3,-91.3,1,0.00,250,49,605.9,605.9,605.9
32.83,-97.3,24.9,24689,-61.0,-91.7,1,0.00,250,44,609.4,609.4,609.4
32.83,-97.3,23.3,25098,-62.5,-92.5,1,0.00,245,50,616.6,616.7,616.6
32.83,-97.3,21.8,25511,-58.7,-89.7,1,0.01,241,57,639.8,639.9,639.8
32.83,-97.3,20.1,26019,-59.5,-90.5,1,0.01,235,65,652.4,652.4,652.4
32.83,-97.3,20.0,26050,-59.3,-90.3,1,0.01,235,65,653.9,654.0,653.9
32.83,-97.3,18.3,26610,-56.3,-88.3,1,0.01,228,72,680.1,680.2,680.1
32.83,-97.3,17.7,26822,-56.6,-88.6,1,0.01,225,75,685.7,685.8,685.7
32.83,-97.3,17.5,26894,-56.7,-88.7,1,0.01,226,76,687.6,687.7,687.6
32.83,-97.3,16.8,27154,-54.7,-86.7,1,0.01,230,78,702.1,702.2,702.1
32.83,-97.3,16.1,27432,-55.0,-87.0,1,0.01,235,81,709.8,709.9,709.8
32.83,-97.3,14.8,27963,-55.7,-87.7,1,0.01,234,89,724.7,724.8,724.7
32.83,-97.3,13.4,28591,-58.3,-89.3,1,0.01,233,99,736.6,736.8,736.6
